threshold,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,detected_fraud_amount,missed_fraud_amount,flagged_nonfraud_amount,total_cost_fp_0.1%,total_cost_fp_0.5%,total_cost_fp_1.0%,total_cost_fp_2.0%,total_cost_fp_5.0%
0.9,570,123,972480,0,0.8225108225108225,1.0,0.9026128266033254,0.00012646475488971347,0.0,769750597.32,0.0,8068508.54,8068.50854,40342.5427,80685.0854,161370.1708,403425.427
0.91,570,123,972480,0,0.8225108225108225,1.0,0.9026128266033254,0.00012646475488971347,0.0,769750597.32,0.0,8068508.54,8068.50854,40342.5427,80685.0854,161370.1708,403425.427
0.92,570,121,972482,0,0.8248914616497829,1.0,0.9040444091990484,0.00012440841741183197,0.0,769750597.32,0.0,7622862.76,7622.86276,38114.313799999996,76228.62759999999,152457.25519999999,381143.13800000004
0.93,570,121,972482,0,0.8248914616497829,1.0,0.9040444091990484,0.00012440841741183197,0.0,769750597.32,0.0,7622862.76,7622.86276,38114.313799999996,76228.62759999999,152457.25519999999,381143.13800000004
0.94,570,121,972482,0,0.8248914616497829,1.0,0.9040444091990484,0.00012440841741183197,0.0,769750597.32,0.0,7622862.76,7622.86276,38114.313799999996,76228.62759999999,152457.25519999999,381143.13800000004
0.95,570,121,972482,0,0.8248914616497829,1.0,0.9040444091990484,0.00012440841741183197,0.0,769750597.32,0.0,7622862.76,7622.86276,38114.313799999996,76228.62759999999,152457.25519999999,381143.13800000004
0.96,570,121,972482,0,0.8248914616497829,1.0,0.9040444091990484,0.00012440841741183197,0.0,769750597.32,0.0,7622862.76,7622.86276,38114.313799999996,76228.62759999999,152457.25519999999,381143.13800000004
0.97,570,120,972483,0,0.8260869565217391,1.0,0.9047619047619048,0.0001233802486728912,0.0,769750597.32,0.0,7468348.259999999,7468.348259999999,37341.741299999994,74683.48259999999,149366.96519999998,373417.41299999994
0.975,570,120,972483,0,0.8260869565217391,1.0,0.9047619047619048,0.0001233802486728912,0.0,769750597.32,0.0,7468348.259999999,7468.348259999999,37341.741299999994,74683.48259999999,149366.96519999998,373417.41299999994
0.98,570,120,972483,0,0.8260869565217391,1.0,0.9047619047619048,0.0001233802486728912,0.0,769750597.32,0.0,7468348.259999999,7468.348259999999,37341.741299999994,74683.48259999999,149366.96519999998,373417.41299999994
0.985,570,119,972484,0,0.8272859216255443,1.0,0.9054805401111994,0.00012235207993395043,0.0,769750597.32,0.0,6434547.489999999,6434.547489999999,32172.737449999997,64345.474899999994,128690.94979999999,321727.3745
0.99,570,119,972484,0,0.8272859216255443,1.0,0.9054805401111994,0.00012235207993395043,0.0,769750597.32,0.0,6434547.489999999,6434.547489999999,32172.737449999997,64345.474899999994,128690.94979999999,321727.3745
0.995,569,115,972488,1,0.8318713450292398,0.9982456140350877,0.9074960127591707,0.0001182394049781874,0.0017543859649122807,769744205.72,6391.6,6367974.71,12759.57471,38231.47355,70071.3471,133751.0942,324790.3355
0.997,562,81,972522,8,0.8740279937791602,0.9859649122807017,0.9266281945589447,8.328166785420157e-05,0.014035087719298246,769611314.72,139282.6,5772861.18,145055.46118,168146.9059,197011.2118,254739.8236,427925.659
0.999,0,0,972603,570,0.0,0.0,0.0,0.0,1.0,0.0,769750597.32,0.0,769750597.32,769750597.32,769750597.32,769750597.32,769750597.32
